time,open,high,low,close,volume
2019-08-05 19:05:00+09:00,26218.58,26225.44,26209.65,26214.94,157
2019-08-05 19:10:00+09:00,26214.44,26222.29,26201.43,26206.1,149
2019-08-05 19:15:00+09:00,26205.98,26205.98,26169.49,26173.14,200
2019-08-05 19:20:00+09:00,26173.26,26183.7,26168.65,26169.5,189
2019-08-05 19:25:00+09:00,26169.05,26177.76,26161.17,26167.34,240
2019-08-05 19:30:00+09:00,26166.35,26174.35,26159.42,26161.38,214
2019-08-05 19:35:00+09:00,26161.87,26166.94,26159.62,26161.23,199
2019-08-05 19:40:00+09:00,26161.73,26174.37,26160.73,26169.64,180
2019-08-05 19:45:00+09:00,26167.29,26169.48,26155.26,26158.44,217
2019-08-05 19:50:00+09:00,26157.94,26165.62,26150.8,26163.72,201
2019-08-05 19:55:00+09:00,26164.22,26166.07,26149.45,26156.21,216
2019-08-05 20:00:00+09:00,26157.21,26157.21,26131.35,26136.76,229
2019-08-05 20:05:00+09:00,26136.26,26142.83,26123.6,26125.65,199
2019-08-05 20:10:00+09:00,26123.87,26141.73,26109.06,26138.2,273
2019-08-05 20:15:00+09:00,26136.71,26144.67,26113.78,26124.09,246
2019-08-05 20:20:00+09:00,26121.41,26127.07,26100.02,26100.02,212
2019-08-05 20:25:00+09:00,26100.57,26122.23,26098.97,26105.78,239
2019-08-05 20:30:00+09:00,26107.28,26163.77,26106.15,26160.8,308
2019-08-05 20:35:00+09:00,26162.74,26165.13,26141.34,26151.19,240
2019-08-05 20:40:00+09:00,26151.69,26160.99,26128.23,26152.12,256
2019-08-05 20:45:00+09:00,26153.12,26163.35,26150.68,26156.48,224
2019-08-05 20:50:00+09:00,26156.98,26158.47,26129.57,26153.01,178
2019-08-05 20:55:00+09:00,26149.02,26164.47,26147.04,26149.03,179
2019-08-05 21:00:00+09:00,26148.03,26159.99,26134.58,26137.57,177
2019-08-05 21:05:00+09:00,26139.06,26155.52,26137.57,26150.03,187
2019-08-05 21:10:00+09:00,26149.54,26158.01,26128.62,26130.61,201
2019-08-05 21:15:00+09:00,26127.62,26140.58,26117.66,26124.64,214
2019-08-05 21:20:00+09:00,26125.63,26135.1,26113.18,26127.13,187
2019-08-05 21:25:00+09:00,26127.63,26139.6,26122.65,26139.6,169
2019-08-05 21:30:00+09:00,26138.6,26143.59,26117.67,26122.66,199
2019-08-05 21:35:00+09:00,26122.66,26134.13,26117.68,26124.15,186
2019-08-05 21:40:00+09:00,26125.65,26132.63,26115.2,26115.2,167
2019-08-05 21:45:00+09:00,26115.69,26124.16,26103.24,26108.72,220
2019-08-05 21:50:00+09:00,26108.72,26128.66,26108.22,26121.19,166
2019-08-05 21:55:00+09:00,26121.69,26136.14,26109.23,26116.21,193
2019-08-05 22:00:00+09:00,26117.2,26120.2,26087.31,26112.73,244
2019-08-05 22:05:00+09:00,26115.22,26124.69,26095.78,26119.71,220
2019-08-05 22:10:00+09:00,26119.22,26130.19,26114.73,26130.19,153
2019-08-05 22:15:00+09:00,26129.69,26131.18,26113.25,26123.71,144
2019-08-05 22:20:00+09:00,26123.22,26131.19,26116.24,26122.22,168
2019-08-05 22:25:00+09:00,26123.22,26133.69,26112.77,26113.27,215
2019-08-05 22:30:00+09:00,26115.17,26126.63,26047.39,26059.35,410
2019-08-05 22:35:00+09:00,26057.86,26066.83,26003.56,26031.68,404
2019-08-05 22:40:00+09:00,26033.83,26033.83,25974.17,25994.29,461
2019-08-05 22:45:00+09:00,25992.88,26013.13,25974.77,25977.47,422
2019-08-05 22:50:00+09:00,25974.41,26000.53,25962.58,25990.86,420
2019-08-05 22:55:00+09:00,25991.39,26022.69,25981.37,26008.59,385
2019-08-05 23:00:00+09:00,26001.75,26013.71,25943.14,25946.75,431
2019-08-05 23:05:00+09:00,25946.15,25969.46,25932.97,25962.55,424
2019-08-05 23:10:00+09:00,25964.43,25990.04,25956.21,25972.18,394
2019-08-05 23:15:00+09:00,25972.72,25997.96,25935.85,25936.82,417
2019-08-05 23:20:00+09:00,25937.84,25988.13,25929.97,25951.6,436
2019-08-05 23:25:00+09:00,25951.34,25963.76,25932.67,25954.23,435
2019-08-05 23:30:00+09:00,25947.17,25979.09,25931.26,25942.13,422
2019-08-05 23:35:00+09:00,25942.18,25962.56,25896.92,25898.79,441
2019-08-05 23:40:00+09:00,25897.8,25910.3,25868.54,25873.49,437
2019-08-05 23:45:00+09:00,25876.47,25901.12,25870.43,25889.85,428
2019-08-05 23:50:00+09:00,25890.85,25921.95,25883.33,25902.83,391
2019-08-05 23:55:00+09:00,25902.34,25932.36,25891.09,25925.09,387
2019-08-06 00:00:00+09:00,25923.98,25947.37,25911.81,25934.75,394
2019-08-06 00:05:00+09:00,25935.02,25971.64,25931.26,25962.91,396
2019-08-06 00:10:00+09:00,25967.35,26000.9,25961.6,25988.44,416
2019-08-06 00:15:00+09:00,25988.96,25989.24,25959.5,25959.51,385
2019-08-06 00:20:00+09:00,25961.04,25979.68,25946.97,25947.96,381
2019-08-06 00:25:00+09:00,25948.97,25954.26,25919.92,25931.15,394
2019-08-06 00:30:00+09:00,25932.01,25940.6,25923.06,25928.89,370
2019-08-06 00:35:00+09:00,25929.89,25935.13,25911.6,25912.83,358
2019-08-06 00:40:00+09:00,25913.81,25926.42,25897.08,25908.97,386
2019-08-06 00:45:00+09:00,25907.78,25950.46,25907.78,25948.42,389
2019-08-06 00:50:00+09:00,25949.38,25955.57,25914.84,25934.43,385
2019-08-06 00:55:00+09:00,25934.42,25937.54,25893.49,25893.49,393
2019-08-06 01:00:00+09:00,25893.12,25897.84,25870.33,25878.48,407
2019-08-06 01:05:00+09:00,25878.9,25902.11,25873.63,25876.82,369
2019-08-06 01:10:00+09:00,25877.21,25889.13,25858.28,25889.13,376
2019-08-06 01:15:00+09:00,25887.81,25914.35,25882.54,25914.21,368
2019-08-06 01:20:00+09:00,25914.13,25914.61,25899.11,25914.11,345
2019-08-06 01:25:00+09:00,25915.61,25915.84,25826.78,25838.62,387
2019-08-06 01:30:00+09:00,25837.88,25862.7,25835.73,25841.53,363
2019-08-06 01:35:00+09:00,25841.57,25855.56,25823.62,25836.89,372
2019-08-06 01:40:00+09:00,25840.38,25840.38,25789.44,25789.93,400
2019-08-06 01:45:00+09:00,25791.24,25805.94,25757.67,25759.55,402
2019-08-06 01:50:00+09:00,25757.74,25793.77,25754.72,25775.49,405
2019-08-06 01:55:00+09:00,25775.99,25776.98,25711.56,25724.71,467
2019-08-06 02:00:00+09:00,25725.69,25765.99,25715.82,25753.02,426
2019-08-06 02:05:00+09:00,25752.43,25780.58,25750.03,25776.06,402
2019-08-06 02:10:00+09:00,25776.08,25790.63,25765.52,25768.09,396
2019-08-06 02:15:00+09:00,25767.08,25791.68,25767.08,25788.8,363
2019-08-06 02:20:00+09:00,25788.55,25811.91,25782.64,25799.67,359
2019-08-06 02:25:00+09:00,25800.37,25804.16,25769.91,25772.6,356
2019-08-06 02:30:00+09:00,25769.62,25778.79,25757.34,25774.3,351
2019-08-06 02:35:00+09:00,25774.29,25819.31,25772.78,25816.72,371
2019-08-06 02:40:00+09:00,25816.28,25824.46,25752.87,25765.72,380
2019-08-06 02:45:00+09:00,25765.71,25765.71,25730.31,25744.98,344
2019-08-06 02:50:00+09:00,25743.98,25744.96,25721.86,25727.29,325
2019-08-06 02:55:00+09:00,25727.31,25734.23,25708.76,25712.67,261
2019-08-06 03:00:00+09:00,25713.17,25729.95,25698.94,25714.23,309
2019-08-06 03:05:00+09:00,25714.24,25736.78,25707.33,25717.0,300
2019-08-06 03:10:00+09:00,25717.0,25746.84,25706.17,25744.17,286
2019-08-06 03:15:00+09:00,25745.17,25747.63,25723.45,25724.45,305
2019-08-06 03:20:00+09:00,25723.47,25735.11,25684.21,25690.63,387
2019-08-06 03:25:00+09:00,25690.68,25690.68,25637.82,25639.47,409
2019-08-06 03:30:00+09:00,25637.97,25653.14,25607.48,25647.21,424
2019-08-06 03:35:00+09:00,25646.77,25667.61,25624.89,25626.82,408
2019-08-06 03:40:00+09:00,25624.83,25640.67,25590.74,25591.23,415
2019-08-06 03:45:00+09:00,25591.63,25653.6,25588.47,25620.56,417
2019-08-06 03:50:00+09:00,25617.17,25647.14,25604.76,25611.2,424
2019-08-06 03:55:00+09:00,25612.18,25622.98,25588.78,25604.32,372
2019-08-06 04:00:00+09:00,25605.31,25639.5,25565.52,25566.75,426
2019-08-06 04:05:00+09:00,25565.18,25570.52,25518.56,25534.24,458
2019-08-06 04:10:00+09:00,25529.93,25644.17,25529.42,25635.11,475
2019-08-06 04:15:00+09:00,25633.65,25675.76,25574.33,25660.5,440
2019-08-06 04:20:00+09:00,25659.44,25693.0,25644.45,25660.5,430
2019-08-06 04:25:00+09:00,25661.54,25709.15,25638.01,25643.0,435
2019-08-06 04:30:00+09:00,25641.06,25688.24,25603.79,25668.97,467
2019-08-06 04:35:00+09:00,25670.03,25730.01,25659.16,25714.22,468
2019-08-06 04:40:00+09:00,25715.09,25762.91,25703.26,25758.72,439
2019-08-06 04:45:00+09:00,25759.24,25774.46,25709.82,25732.17,431
2019-08-06 04:50:00+09:00,25728.72,25750.14,25690.94,25730.0,460
2019-08-06 04:55:00+09:00,25735.91,25755.43,25714.15,25716.64,449
2019-08-06 05:00:00+09:00,25720.63,25733.59,25678.77,25683.26,275
