Time,Open,High,Low,Close
2012/9/30 6:0:0,13425.0,13431.0,13406.0,13410.0
2012/10/1 6:0:0,13409.0,13597.0,13384.0,13503.0
2012/10/2 6:0:0,13504.0,13567.0,13418.0,13470.0
2012/10/3 6:0:0,13469.0,13537.0,13429.0,13525.0
2012/10/4 6:0:0,13524.0,13598.0,13501.0,13568.0
2012/10/5 6:0:0,13569.0,13664.0,13552.0,13601.0
2012/10/7 6:0:0,13616.0,13616.0,13583.0,13588.0
2012/10/8 6:0:0,13589.0,13605.0,13540.0,13566.0
2012/10/9 6:0:0,13567.0,13609.0,13455.0,13456.0
2012/10/10 6:0:0,13457.0,13481.0,13292.0,13301.0
2012/10/11 6:0:0,13300.0,13428.0,13299.0,13343.0
2012/10/12 6:0:0,13344.0,13401.0,13294.0,13312.0
2012/10/14 6:0:0,13329.0,13331.0,13307.0,13314.0
2012/10/15 6:0:0,13313.0,13436.0,13275.0,13429.0
2012/10/16 6:0:0,13428.0,13555.0,13411.0,13519.0
2012/10/17 6:0:0,13518.0,13562.0,13493.0,13542.0
2012/10/18 6:0:0,13543.0,13590.0,13512.0,13543.0
2012/10/19 6:0:0,13544.0,13556.0,13306.0,13308.0
2012/10/21 6:0:0,13310.0,13328.0,13310.0,13315.0
2012/10/22 6:0:0,13314.0,13368.0,13233.0,13359.0
2012/10/23 6:0:0,13358.0,13372.0,13080.0,13109.0
2012/10/24 6:0:0,13108.0,13154.0,13060.0,13085.0
2012/10/25 6:0:0,13083.0,13160.0,13034.0,13095.0
2012/10/26 6:0:0,13096.0,13150.0,12996.0,13115.0
2012/10/28 6:0:0,13105.0,13109.0,13067.0,13081.0
2012/10/29 7:0:0,13080.0,13103.0,13010.0,13034.0
2012/10/30 7:0:0,13035.0,13140.0,12989.0,13123.0
2012/10/31 7:0:0,13124.0,13186.0,13044.0,13060.0
2012/11/1 7:0:0,13059.0,13275.0,13030.0,13228.0
2012/11/2 7:0:0,13229.0,13288.0,13050.0,13052.0
2012/11/4 7:0:0,13044.0,13059.0,13035.0,13044.0
2012/11/5 7:0:0,13045.0,13140.0,13036.0,13106.0
2012/11/6 7:0:0,13107.0,13293.0,13098.0,13234.0
2012/11/7 7:0:0,13233.0,13299.0,12875.0,12948.0
2012/11/8 7:0:0,12947.0,12981.0,12808.0,12835.0
2012/11/9 7:0:0,12834.0,12891.0,12717.0,12807.0
2012/11/11 7:0:0,12811.0,12833.0,12791.0,12806.0
2012/11/12 7:0:0,12805.0,12864.0,12781.0,12803.0
2012/11/13 7:0:0,12804.0,12900.0,12727.0,12766.0
2012/11/14 7:0:0,12765.0,12834.0,12544.0,12579.0
2012/11/15 7:0:0,12580.0,12612.0,12499.0,12542.0
2012/11/16 7:0:0,12541.0,12604.0,12470.0,12603.0
2012/11/18 7:0:0,12608.0,12640.0,12606.0,12638.0
2012/11/19 7:0:0,12639.0,12794.0,12615.0,12754.0
2012/11/20 7:0:0,12755.0,12808.0,12699.0,12783.0
2012/11/21 7:0:0,12782.0,12855.0,12726.0,12851.0
2012/11/22 7:0:0,12852.0,12875.0,12842.0,12856.0
2012/11/23 7:0:0,12855.0,13008.0,12826.0,12988.0
2012/11/25 7:0:0,12973.0,12973.0,12954.0,12961.0
2012/11/26 7:0:0,12960.0,12971.0,12900.0,12969.0
